3♢,3♣,3♡,3♠,4♢
3♢,3♣,3♡,3♠,4♣
3♢,3♣,3♡,3♠,4♡
3♢,3♣,3♡,3♠,4♠
3♢,3♣,3♡,3♠,5♢
3♢,3♣,3♡,3♠,5♣
3♢,3♣,3♡,3♠,5♡
3♢,3♣,3♡,3♠,5♠
3♢,3♣,3♡,3♠,6♢
3♢,3♣,3♡,3♠,6♣
3♢,3♣,3♡,3♠,6♡
3♢,3♣,3♡,3♠,6♠
3♢,3♣,3♡,3♠,7♢
3♢,3♣,3♡,3♠,7♣
3♢,3♣,3♡,3♠,7♡
3♢,3♣,3♡,3♠,7♠
3♢,3♣,3♡,3♠,8♢
3♢,3♣,3♡,3♠,8♣
3♢,3♣,3♡,3♠,8♡
3♢,3♣,3♡,3♠,8♠
3♢,3♣,3♡,3♠,9♢
3♢,3♣,3♡,3♠,9♣
3♢,3♣,3♡,3♠,9♡
3♢,3♣,3♡,3♠,9♠
3♢,3♣,3♡,3♠,T♢
3♢,3♣,3♡,3♠,T♣
3♢,3♣,3♡,3♠,T♡
3♢,3♣,3♡,3♠,T♠
3♢,3♣,3♡,3♠,J♢
3♢,3♣,3♡,3♠,J♣
3♢,3♣,3♡,3♠,J♡
3♢,3♣,3♡,3♠,J♠
3♢,3♣,3♡,3♠,Q♢
3♢,3♣,3♡,3♠,Q♣
3♢,3♣,3♡,3♠,Q♡
3♢,3♣,3♡,3♠,Q♠
3♢,3♣,3♡,3♠,K♢
3♢,3♣,3♡,3♠,K♣
3♢,3♣,3♡,3♠,K♡
3♢,3♣,3♡,3♠,K♠
3♢,3♣,3♡,3♠,A♢
3♢,3♣,3♡,3♠,A♣
3♢,3♣,3♡,3♠,A♡
3♢,3♣,3♡,3♠,A♠
3♢,3♣,3♡,3♠,2♢
3♢,3♣,3♡,3♠,2♣
3♢,3♣,3♡,3♠,2♡
3♢,3♣,3♡,3♠,2♠
3♢,4♢,4♣,4♡,4♠
3♣,4♢,4♣,4♡,4♠
3♡,4♢,4♣,4♡,4♠
3♠,4♢,4♣,4♡,4♠
4♢,4♣,4♡,4♠,5♢
4♢,4♣,4♡,4♠,5♣
4♢,4♣,4♡,4♠,5♡
4♢,4♣,4♡,4♠,5♠
4♢,4♣,4♡,4♠,6♢
4♢,4♣,4♡,4♠,6♣
4♢,4♣,4♡,4♠,6♡
4♢,4♣,4♡,4♠,6♠
4♢,4♣,4♡,4♠,7♢
4♢,4♣,4♡,4♠,7♣
4♢,4♣,4♡,4♠,7♡
4♢,4♣,4♡,4♠,7♠
4♢,4♣,4♡,4♠,8♢
4♢,4♣,4♡,4♠,8♣
4♢,4♣,4♡,4♠,8♡
4♢,4♣,4♡,4♠,8♠
4♢,4♣,4♡,4♠,9♢
4♢,4♣,4♡,4♠,9♣
4♢,4♣,4♡,4♠,9♡
4♢,4♣,4♡,4♠,9♠
4♢,4♣,4♡,4♠,T♢
4♢,4♣,4♡,4♠,T♣
4♢,4♣,4♡,4♠,T♡
4♢,4♣,4♡,4♠,T♠
4♢,4♣,4♡,4♠,J♢
4♢,4♣,4♡,4♠,J♣
4♢,4♣,4♡,4♠,J♡
4♢,4♣,4♡,4♠,J♠
4♢,4♣,4♡,4♠,Q♢
4♢,4♣,4♡,4♠,Q♣
4♢,4♣,4♡,4♠,Q♡
4♢,4♣,4♡,4♠,Q♠
4♢,4♣,4♡,4♠,K♢
4♢,4♣,4♡,4♠,K♣
4♢,4♣,4♡,4♠,K♡
4♢,4♣,4♡,4♠,K♠
4♢,4♣,4♡,4♠,A♢
4♢,4♣,4♡,4♠,A♣
4♢,4♣,4♡,4♠,A♡
