3♢,3♣,3♡,4♢,4♣
3♢,3♣,3♡,4♢,4♡
3♢,3♣,3♡,4♣,4♡
3♢,3♣,3♡,4♢,4♠
3♢,3♣,3♡,4♣,4♠
3♢,3♣,3♡,4♡,4♠
3♢,3♣,3♡,5♢,5♣
3♢,3♣,3♡,5♢,5♡
3♢,3♣,3♡,5♣,5♡
3♢,3♣,3♡,5♢,5♠
3♢,3♣,3♡,5♣,5♠
3♢,3♣,3♡,5♡,5♠
3♢,3♣,3♡,6♢,6♣
3♢,3♣,3♡,6♢,6♡
3♢,3♣,3♡,6♣,6♡
3♢,3♣,3♡,6♢,6♠
3♢,3♣,3♡,6♣,6♠
3♢,3♣,3♡,6♡,6♠
3♢,3♣,3♡,7♢,7♣
3♢,3♣,3♡,7♢,7♡
3♢,3♣,3♡,7♣,7♡
3♢,3♣,3♡,7♢,7♠
3♢,3♣,3♡,7♣,7♠
3♢,3♣,3♡,7♡,7♠
3♢,3♣,3♡,8♢,8♣
3♢,3♣,3♡,8♢,8♡
3♢,3♣,3♡,8♣,8♡
3♢,3♣,3♡,8♢,8♠
3♢,3♣,3♡,8♣,8♠
3♢,3♣,3♡,8♡,8♠
3♢,3♣,3♡,9♢,9♣
3♢,3♣,3♡,9♢,9♡
3♢,3♣,3♡,9♣,9♡
3♢,3♣,3♡,9♢,9♠
3♢,3♣,3♡,9♣,9♠
3♢,3♣,3♡,9♡,9♠
3♢,3♣,3♡,T♢,T♣
3♢,3♣,3♡,T♢,T♡
3♢,3♣,3♡,T♣,T♡
3♢,3♣,3♡,T♢,T♠
3♢,3♣,3♡,T♣,T♠
3♢,3♣,3♡,T♡,T♠
3♢,3♣,3♡,J♢,J♣
3♢,3♣,3♡,J♢,J♡
3♢,3♣,3♡,J♣,J♡
3♢,3♣,3♡,J♢,J♠
3♢,3♣,3♡,J♣,J♠
3♢,3♣,3♡,J♡,J♠
3♢,3♣,3♡,Q♢,Q♣
3♢,3♣,3♡,Q♢,Q♡
3♢,3♣,3♡,Q♣,Q♡
3♢,3♣,3♡,Q♢,Q♠
3♢,3♣,3♡,Q♣,Q♠
3♢,3♣,3♡,Q♡,Q♠
3♢,3♣,3♡,K♢,K♣
3♢,3♣,3♡,K♢,K♡
3♢,3♣,3♡,K♣,K♡
3♢,3♣,3♡,K♢,K♠
3♢,3♣,3♡,K♣,K♠
3♢,3♣,3♡,K♡,K♠
3♢,3♣,3♡,A♢,A♣
3♢,3♣,3♡,A♢,A♡
3♢,3♣,3♡,A♣,A♡
3♢,3♣,3♡,A♢,A♠
3♢,3♣,3♡,A♣,A♠
3♢,3♣,3♡,A♡,A♠
3♢,3♣,3♡,2♢,2♣
3♢,3♣,3♡,2♢,2♡
3♢,3♣,3♡,2♣,2♡
3♢,3♣,3♡,2♢,2♠
3♢,3♣,3♡,2♣,2♠
3♢,3♣,3♡,2♡,2♠
3♢,3♣,3♠,4♢,4♣
3♢,3♣,3♠,4♢,4♡
3♢,3♣,3♠,4♣,4♡
3♢,3♣,3♠,4♢,4♠
3♢,3♣,3♠,4♣,4♠
3♢,3♣,3♠,4♡,4♠
3♢,3♣,3♠,5♢,5♣
3♢,3♣,3♠,5♢,5♡
3♢,3♣,3♠,5♣,5♡
3♢,3♣,3♠,5♢,5♠
3♢,3♣,3♠,5♣,5♠
